place,acon/bed room/White Bed Room.png,acon/bed room/Spectaculer Bed Roomset.png,acon/office/office2.png,acon/office/office4.png,acon/office/office1.png,acon/office/office3.png,acon/office/office5.png,acon/cafe/cafe7.png,acon/cafe/cafe2.png,acon/cafe/cafe5.png,acon/cafe/cafe3.png,acon/cafe/cafe4.png,acon/cafe/cafe1.png,acon/modern dining room/Luxury Furniture.png,acon/modern dining room/Living Room.png,acon/modern dining room/Cozy Funiture.png,acon/modern dining room/Funiture.jpeg,acon/modern dining room/Dreamlike shelf.png,acon/modern dining room/Green Plant Room.png,acon/modern dining room/Soft Dining Room.png,acon/modern dining room/Elegant Furniture Products.png,acon/modern dining room/Ethnic Funiture Set.png,acon/modern dining room/Wooden Funiture.png,acon/modern dining room/Dining Room Furniture.png,acon/modern dining room/Gaming Room.png,acon/modern dining room/Holiday Marketing.png,acon/modern dining room/Home Office Funiture.png,acon/park/park4.png,acon/park/park3.png,acon/park/park1.png,acon/park/park5.png,acon/park/park2.png,acon/library/library4.png,acon/library/library1.png,acon/library/library3.png,acon/library/library2.png,acon/library/library5.png,acon/yard with table/Yard with Table.png
bed room,5.974234947705268,6.3395724360466,6.51720423309803,6.960491930103302,10.50860406780243,4.8429954529047015,6.629734095048905,3.4035358863115324,8.028758371973039,4.024287598347664,6.6480699223756785,5.580134380102157,6.666312712764741,4.098382177710533,10.680468843722343,7.468840455341339,3.922130204868317,8.119289508485796,14.586413154435157,7.804971933984757,5.748412679314614,13.428560445713995,9.050590757894515,6.028163080334663,10.015115907239913,15.453777492642402,12.342130789780617,21.18026881210804,28.15815853664875,24.7337064414978,19.908536118888854,24.765544791316987,4.839010898351669,2.817751125025749,6.222654668617249,4.577894921183586,5.527277294135093,11.331150634002686
cafe,1.435090628123282,0.36654505026340445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0937796178579333,0.0,0.0,0.0,0.0,0.0,0.3833951134204874,6.476576979994773,0.0,0.0,0.0,0.34870582330226796,0.0,24.701339121866226,18.911181360888477,25.49648166627884,25.10579490866661,19.0026332775116,0.0,0.0,0.0,0.10325638632774314,0.0,2.353374429845811
library,0.0,0.0,13.799849318385125,7.261109694647788,16.11081725487709,11.246728756046295,14.891059911108018,4.211466289401056,4.405984190392495,3.56701364762783,2.850642447519302,2.9629239805698395,3.6724408171653753,1.4585340348720557,0.0,0.0770625188350671,2.23215015385151,6.903459907341006,7.2740979336977,2.900064158511162,0.6644714395284659,0.0,1.2227153860807416,3.1611852171897885,9.815545399355887,0.0,3.865343475699424,33.879442222619055,2.878434974360463,4.513854312324526,18.082935071420668,7.824778609991075,5.7140665660142895,4.111712180757523,5.310905198168755,3.619620728349685,3.918235922479629,2.2817113447666166
modern dining room,8.41044113395214,12.178149786782264,10.796997016072273,12.561916838216781,16.320105883932115,5.347516426944733,13.54887976050377,12.792145997524262,12.543337179994584,11.6860085968256,10.868005936932564,10.758467374753952,11.083768400239945,11.754101882839203,13.484074247002601,11.745167567157745,13.11678660581112,23.373162802743913,18.08935125901699,10.956145947909356,11.968742535924912,20.750204632306097,12.095548034119606,9.78261293940544,11.317162258601188,12.659221563196184,12.640711107707023,0.0,18.53080097725391,2.0143034052371966,4.721302451539039,8.910451714062692,13.066385999941826,3.230956721401215,9.596155719971657,10.43988144583702,11.699904571819305,8.63649745221138
office,2.0667481567382797,0.42366371159553573,5.441525519776345,3.2458007676362985,9.39209614379406,7.6250665032148355,6.493818513178827,3.4172006020545975,4.710633038759232,1.3185264498472211,1.6592687095165246,1.592580223035812,5.848803122210503,1.9761076943397526,0.6240513324499126,3.365173996663094,2.2815388340473177,0.8732012638807305,2.2390635642528522,2.577050686860085,1.5924953616142279,12.966885773968695,1.2622875110864644,1.4862964361667625,6.749818512034416,10.236618336105348,3.1108924490690235,28.353523693728444,15.258768959760664,7.8405797008276,16.037284383106233,17.24235863490105,11.65788751347065,9.232909708189965,9.77252262685299,8.560577500510215,6.057177315449714,0.0
park,1.961102456235885,0.6707426948547361,1.2214478665590285,2.784458682370186,5.453151577210427,4.008747374343872,3.562037078404428,14.558017663598061,9.963031521368027,8.424245993113518,8.818705759906768,7.461935715699196,9.188714746999741,1.143033563804627,0.3413876641988747,2.3410956552028654,3.4494670676469816,2.7101699246883406,2.7051922726869577,2.440503804087639,0.0,3.5690084106445283,2.159261196279525,1.8655012871503827,5.2392308573722834,1.6952311562776572,2.6640781412601466,14.553590424919125,11.112833541083333,7.404908433318138,0.0,8.249271961021424,7.2769752601146696,3.2626329608201985,7.102869861316681,6.5725676671981805,5.307459847593307,2.739202628922463
yard with table,11.220541246604919,13.424906319379806,4.295877764296533,1.2370898817300802,9.487957616162301,3.189821261787414,4.542578965544701,1.1922522935628894,4.392396988797188,2.14975839688778,2.3399815928936007,1.8796823366165167,1.4514121372699744,3.6167704955577857,5.909583253288268,5.6418994755268095,10.469710587620735,1.298180609512329,17.384791633725165,5.2055338501214985,3.9371792049407963,11.015041992688177,4.647888963484764,3.40132100739479,7.945629712915419,22.25053382742405,3.5017540910959237,12.198036433959004,0.0,0.0,5.512359543299674,0.0,1.3221903866767875,2.901242245960236,2.933443976545334,0.0,0.9335707317113879,1.1764352628707897
