yard with table,acon/bed room/White Bed Room.png,acon/bed room/Spectaculer Bed Roomset.png,acon/office/office2.png,acon/office/office4.png,acon/office/office1.png,acon/office/office3.png,acon/office/office5.png,acon/cafe/cafe7.png,acon/cafe/cafe2.png,acon/cafe/cafe5.png,acon/cafe/cafe3.png,acon/cafe/cafe4.png,acon/cafe/cafe1.png,acon/modern dining room/Luxury Furniture.png,acon/modern dining room/Living Room.png,acon/modern dining room/Cozy Funiture.png,acon/modern dining room/Funiture.jpeg,acon/modern dining room/Dreamlike shelf.png,acon/modern dining room/Green Plant Room.png,acon/modern dining room/Soft Dining Room.png,acon/modern dining room/Elegant Furniture Products.png,acon/modern dining room/Ethnic Funiture Set.png,acon/modern dining room/Wooden Funiture.png,acon/modern dining room/Dining Room Furniture.png,acon/modern dining room/Gaming Room.png,acon/modern dining room/Holiday Marketing.png,acon/modern dining room/Home Office Funiture.png,acon/park/park4.png,acon/park/park3.png,acon/park/park1.png,acon/park/park5.png,acon/park/park2.png,acon/library/library4.png,acon/library/library1.png,acon/library/library3.png,acon/library/library2.png,acon/library/library5.png,acon/yard with table/Yard with Table.png
bed room,6.937144972419738,7.253572224354744,4.590350765776636,7.716546572685242,4.927650951766967,3.2363877528667455,4.380909239673615,6.606821502232551,13.476437542939184,5.79972873365879,9.859997985982895,6.598443801736831,8.561073542022704,3.427695264029504,10.758701349925994,8.25197683751583,5.630910978984833,9.55754432206154,16.65492574222088,7.247405229091645,3.7562066755771646,18.493551466345785,10.19969926276207,4.477812736582756,8.893199836993219,17.491802536392214,13.707805546665192,23.917583558034895,15.570590661025047,16.148265454030035,17.449497695088386,14.496613183426858,6.646572209501267,0.6231008788108827,8.666665315270425,6.225755841112137,7.659989335250855,12.223067718219758
cafe,0.0,0.0,15.126301451826096,7.403119812917709,23.987465677666666,15.638707494258881,19.53582283270359,3.579313995838165,0.03218720159530619,2.8521871977806086,1.6553737380027762,1.8834437575340264,2.9348286798954017,0.38660047106742823,0.0,0.0,0.0,6.506458643460274,6.553234369444846,0.7581603544235236,0.6644714395284659,0.0,0.0,2.321988781023025,15.777714541983606,0.0,1.9237653344392776,16.870042222619055,0.8776349743604666,1.8064543123245222,8.720535071420668,2.672578609991074,5.430276179337502,2.5576699347972855,4.8281612216234215,3.619620728349685,3.520765190768243,2.658011344766617
library,8.41044113395214,12.178149786782264,11.515149149513245,13.917426956486702,24.458454306721688,4.188095165157318,17.221442682099344,13.751493703961373,19.231240191197394,13.151382146978378,12.795237227416038,12.59758715171814,12.728256262969971,13.002568319034577,13.484074247002601,11.821605048322677,15.77793645195961,24.276861538863184,20.629887694764136,14.049342143821717,11.968742535924912,20.750204632306097,13.438032648038865,11.501016503238677,20.954631401228905,12.659221563196184,15.978032966446877,0.0,5.649900977253914,0.8061034052371969,2.276902451539039,3.043451714062691,14.520995613265038,0.6967144754409791,13.530311743426322,10.43988144583702,12.700133840107918,10.06089745221138
modern dining room,2.0667481567382797,0.42366371159553573,5.074877653217316,2.4685108859062197,8.865444566583633,8.60884524142742,5.0554814347744,2.6376483084917055,0.7510360499620425,0.0,0.0,0.0,5.810690984940529,1.0208741305351268,0.6240513324499126,3.3314114778280253,0.07158868019580744,0.0,0.0,0.22524688277244564,1.5924953616142279,12.966885773968695,0.04887212500572247,0.0,5.207887654662132,10.236618336105348,0.7156143078088757,14.118423693728445,4.652268959760665,3.1378797008275967,7.7340843831062305,5.889258634901047,12.779497126793862,13.378767462229728,13.888578650307656,8.560577500510215,6.043906583738328,0.0
office,1.961102456235885,0.6707426948547361,0.0,1.9015688006401064,0.0,1.5895261125564577,0.0,15.844865370035171,13.143334532570837,9.013719543266296,9.947737050390243,8.066855492663382,10.224102609729767,0.0,0.3413876641988747,2.293833136367798,1.7646169137954715,1.9819686608076097,0.6065287084341051,0.0,0.0,3.5690084106445283,1.1575458101987852,0.5257048509836189,0.0,1.6952311562776572,0.0,7.246890424919126,3.388233541083336,2.963508433318136,0.0,2.817671961021423,7.362684873437882,0.7636907148599619,8.467225884771349,6.5725676671981805,5.159489115881921,3.190902628922464
park,11.220541246604919,13.424906319379806,3.6971298977375042,0.0,9.081306038951874,0.0,1.6907418871402733,0.0,0.0,1.0543319470405574,0.9458128833770747,0.39460211358070296,0.0,3.0313369317531595,5.909583253288268,5.638136956691742,11.940860433769226,0.4584793456316021,19.712928069472312,4.56193004603386,3.9371792049407963,11.015041992688177,4.233273577404024,2.6548245712280263,9.330898855543136,22.25053382742405,1.3416759498357784,6.073936433959005,0.0,0.0,2.6583595432996745,0.0,0.0,0.0,0.0,0.0,0.0,1.3705352628707885
yard with table,11.22,13.42,3.7,0,9.08,0,1.69,0,0,1.05,0.95,0.39,0,3.03,5.91,5.64,11.94,0.46,19.71,4.56,3.94,11.02,4.23,2.65,9.33,22.25,1.34,6.07,0,0,2.66,0,0,0,0,0,0,1.37
